artist,auction_house,auction_result,date_sold,dating,img available,inscribed,kind,lot_number,price_estimated,signed,size,stamped,title,with_premium
" 
        Friedrich Preller D A (1804-1878) Germany",Winterberg - Germany: Heidelberg,Unsold,10-25-2008,N/A,y,No,Oil on c,511,"2,500 EUR",No,14.45 x 35.04 in (36.70 x 89.00 cm),No,Italienische Flußlandschaft mit Fährmannstelle,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Fischer Auktionen AG - Switzerland: Luzern,"3,000 CHF",06-11-2008,N/A,y,No,Watercolor ,2089,"3,500 - 3,800 CHF",Yes,17.91 x 27.76 in (45.49 x 70.51 cm),No,Odysseus und Hermes im Garten der Kirke,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,400 EUR,05-30-2008,N/A,y,No,Pencil ,6755,500 EUR,Yes,5.43 x 3.03 in (13.79 x 7.70 cm),No,Trauernder Genius,No
" 
        Friedrich Preller D A (1804-1878) Germany",Karl & Faber - Germany: Munchen,"4,000 EUR",05-28-2008,N/A,y,No,Oil on wood,370,"3,000 - 3,500 EUR",No,8.27 x 12.99 in (21.01 x 32.99 cm),No,"Felsen in Brandung (Skudesnaes, Norwegen)",No
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,700 EUR,05-17-2008,N/A,y,No,Pencil on paper,1324,"700 - 1,000 EUR",No,9.84 x 14.96 in (24.99 x 38.00 cm),No,EICHEN AUF RÜGEN.,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,300 EUR,11-30-2007,N/A,n,No,Painting ,6694,350 EUR,No,11.42 x 7.48 in (29.01 x 19.00 cm),No,Stehender männlicher Rückenakt mit erhobenen Armen,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,Unsold,11-30-2007,N/A,n,No,Pencil ,6695,350 EUR,No,11.46 x 8.70 in (29.11 x 22.10 cm),No,Blick in die Seissenbergklamm,No
" 
        Friedrich Preller D A (1804-1878) Germany",VAN HAM Fine Art Auctions - Germany: Cologne,"5,500 EUR",11-15-2007,1870,y,No,"Oil on canvas, framed",1102,"6,000 EUR",No,16.73 x 22.24 in (42.49 x 56.49 cm),Yes,Evening mood in a sea landscape. Skippers unloading the sailer.,No
" 
        Friedrich Preller D A (1804-1878) Germany",Auktionshaus Bernd Rieber - Germany: Stuttgart,Unsold,09-17-2007,N/A,y,No,Unknown ,4199,95 EUR,No,5.51 x 8.66 in (14.00 x 22.00 cm),No,Heimkehr vom Felde,No
" 
        Friedrich Preller D A (1804-1878) Germany",Auktionshaus Bernd Rieber - Germany: Stuttgart,Unsold,09-17-2007,N/A,y,No,Unknown ,4200,95 EUR,No,5.91 x 7.48 in (15.01 x 19.00 cm),No,Waldweiher,No
" 
        Friedrich Preller D A (1804-1878) Germany",Ketterer Kunst  - Germany: Hamburg ,840 EUR,03-31-2007,1851,y,No,Watercolor over pencil,1241,N/A,Yes,10.24 x 8.07 in (26.01 x 20.50 cm),No,Landschaft mit Burg,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Fischer Auktionen AG - Switzerland: Luzern,"2,600 CHF",11-08-2006,1870,y,No,Oil on canvas,1103,"5,000 - 7,000 CHF",Yes,16.73 x 22.24 in (42.49 x 56.49 cm),No,Meerlandschaft im Abendstimmung,No
" 
        Friedrich Preller D A (1804-1878) Germany",Kunst - Auktionshaus  Martin Wendl - Germany: Rudolstadt,"6,500 EUR",06-17-2006,N/A,y,No,Oil on canvas,4102,"6,500 EUR",No,38.98 x 48.03 in (99.01 x 122.00 cm),No,Blick auf stürmische Küste,No
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,"1,500 EUR",05-20-2006,N/A,y,No,Watercolor and pencil on paper,1336,"1,800 EUR",No,22.05 x 29.53 in (56.01 x 75.01 cm),No,HOCHGEBIRGSLANDSCHAFT MIT WANDERERN,No
" 
        Friedrich Preller D A (1804-1878) Germany",Karl & Faber - Germany: Munchen,Unsold,11-29-2005,1873,n,No,Pencil on vellum,377,"2,100 EUR",No,11.81 x 18.11 in (30.00 x 46.00 cm),No,"Italienische Landschaft (""Aqua cetosa"")",No
" 
        Friedrich Preller D A (1804-1878) Germany",Kunst - Auktionshaus  Martin Wendl - Germany: Rudolstadt,290 EUR,10-20-2005,1837,n,No,Etching ,2488,60 EUR,Yes,4.72 x 6.10 in (11.99 x 15.49 cm),No,Eichengruppe mit weidenden Tieren.,No
" 
        Friedrich Preller D A (1804-1878) Germany","Venator & Hanstein KG - Germany, Cologne",Unsold,03-18-2005,N/A,n,No,Pencil on paper,1498,800 EUR,No,17.13 x 11.22 in (43.51 x 28.50 cm),No,Felsige Küstenlandschaft.,No
" 
        Friedrich Preller D A (1804-1878) Germany","Venator & Hanstein KG - Germany, Cologne",130 EUR,03-18-2005,1873,n,No,Etching 3 iterms,1499,120 EUR,Yes,4.72 x 6.10 in (11.99 x 15.49 cm),No,Große Baumgruppe an der See,No
" 
        Friedrich Preller D A (1804-1878) Germany",Münchener Kunstauktionshaus Neumeister - Germany: München,"7,500 EUR",02-24-2005,N/A,n,No,Oil on canvas,619,"2,000 EUR",No,15.55 x 22.64 in (39.50 x 57.51 cm),No,Gebirgslandschaft,No
" 
        Friedrich Preller D A (1804-1878) Germany",Münchener Kunstauktionshaus Neumeister - Germany: München,"2,600 EUR",02-24-2005,N/A,n,No,Oil on canvas on cardboard,620,"1,800 EUR",No,16.14 x 23.43 in (41.00 x 59.51 cm),No,Fjordlandschaft,No
" 
        Kingham N A (1900-) United States of America",William J.Jenack - The United States: New York,425 USD,03-07-2004,N/A,n,No,Watercolor ,218,300 - 500 USD,Yes,14.50 x 21.00 in (36.83 x 53.34 cm),No,FISHERMAN ON THE ROCKS,No
" 
        C C A (-) ","Keys Fine Art Auctioneers - United Kingdom: Norwich, Norfolk",Unsold,02-11-2005,1873,n,Yes,Watercolor a pair,771,50 - 60 GBP,Yes,9.00 x 13.00 in (22.86 x 33.02 cm),No,"Dun Brody Abbey, Co Wexford, 30th July 1873",No
" 
        K. Fábián A (-) ","Nagyházi Galéria & Aukciósház - Hungary: Balaton, Budapest",Unsold,06-07-2006,N/A,y,No,Watercolor on paper,167,"44,000 HUF",No,236.22 x 196.85 in (600.00 x 500.00 cm),No,&#336;szi erd&#337;részlet,No
" 
        G. Fekete A (-) ","Nagyházi Galéria & Aukciósház - Hungary: Balaton, Budapest","100,000 HUF",06-07-2006,1927,y,No,Oil on canvas,194,"100,000 HUF",No,23.62 x 31.50 in (59.99 x 80.01 cm),No,Tabán - Holdvilág utca,No
" 
        Koo Jeong A (1967-) ",Christies - China: Hong Kong,"81,250 HKD",05-27-2012,N/A,y,Yes,C-print ,2521,"65,000 - 85,000 HKD",Yes,43.31 x 0 in (110.01 x 0.00 cm),No,Candy Series #d.01; & Candy Series #d.02,Yes
" 
        Koo Jeong A (1967-) ",Piasa - France: Paris,Unsold,06-05-2009,N/A,y,No,Photograph ,339,"1,000 - 1,200 EUR",Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,"Become snow n°4, 1998",No
" 
        Koo Jeong A (1967-) ",Piasa - France: Paris,Unsold,11-14-2008,N/A,y,No,Silver colours,271,"1,500 - 2,000 EUR",Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,"U Become snow n°4, 1998",No
" 
        Koo Jeong A (1967-) ","Bonhams - United Kingdom: London, New Bond Street",Unsold,06-20-2006,N/A,y,No,Photograph ,63,"2,500 - 3,500 GBP",Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,U Become Snow #14,No
" 
        Koo Jeong A (1967-) ","Bonhams - United Kingdom: London, New Bond Street",Unsold,06-20-2006,N/A,y,No,Photograph ,64,"2,500 - 3,500 GBP",Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,U Become Snow #10,No
" 
        Koo Jeong A (1967-) ","Bonhams - United Kingdom: London, New Bond Street",Unsold,06-20-2006,N/A,y,No,Photograph ,65,"2,500 - 3,500 GBP",Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,U Become Snow #13,No
" 
        Karl Storch D. A (1864-1954) ",Galerie Fischer Auktionen AG - Switzerland: Luzern,"1,200 CHF",11-12-2008,1932,y,No,Oil on Hartfaserplatte,1907,"1,500 - 1,800 CHF",Yes,14.06 x 17.80 in (35.71 x 45.21 cm),No,Familie in der Laube,No
" 
        R. Adla A (1900-) ",Waddington's - Canada: Toronto,144 CAD,09-20-2011,N/A,y,No,Oil on canvas,42,100 - 200 CAD,Yes,15.98 x 34.02 in (40.59 x 86.41 cm),No,MARKET DAY,Yes
" 
        R. A (-) ","Peter Wilson - United Kingdom: Cheshire, Nantwich",Unsold,09-06-2012,N/A,y,No,Pastel ,412,150 - 200 GBP,Yes,19.69 x 19.69 in (50.01 x 50.01 cm),No,Walled garden,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,05-18-2011,N/A,y,No,Oil on canvas,344,"9,500 PLN",Yes,28.74 x 39.57 in (73.00 x 100.51 cm),No,&#321;ódki,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,10-20-2010,N/A,y,No,Oil ,338,"24,000 PLN",Yes,35.43 x 47.24 in (89.99 x 119.99 cm),No,Droga przez las,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,04-21-2010,N/A,y,No,Plate brown,344,"2,700 PLN",No,31.50 x 47.24 in (80.01 x 119.99 cm),No,Pantera,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,"8,000 PLN",12-16-2009,N/A,y,No,Oil on canvas,354,N/A,No,35.43 x 15.75 in (89.99 x 40.00 cm),No,Zakazany owoc,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,08-26-2009,N/A,y,No,Oil ,344,"12,000 PLN",Yes,78.74 x 55.12 in (200.00 x 140.00 cm),No,"Z serii ""Tropiki""",No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,12-17-2008,N/A,y,No,Oil on panel,347,"15,000 PLN",No,51.18 x 70.87 in (130.00 x 180.01 cm),No,Szary strumie&#324;,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,10-22-2008,N/A,y,No,Oil on canvas,349,"20,000 PLN",Yes,59.06 x 70.87 in (150.01 x 180.01 cm),No,Relief jesienny,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,08-27-2008,N/A,y,No,Oil on canvas,351,"25,000 PLN",Yes,39.37 x 59.06 in (100.00 x 150.01 cm),No,Fortepian,No
" 
        Marek Ałaszewski (1942-) Poland",Rempex - Poland: Warsaw,Unsold,07-09-2008,N/A,y,No,Oil on canvas,324,"20,000 PLN",Yes,59.06 x 39.37 in (150.01 x 100.00 cm),No,Herbatka na dywanie,No
" 
        A*hifehenfe (1900-) ",Bonhams - United Kingdom: Leeds,59 GBP,01-18-2005,1906,n,No,Pastel with two further watercolours and an engraving after Landseer. (4),180,100 - 150 GBP,Yes,5.91 x 10.43 in (15.01 x 26.49 cm),No,A lakeland scene,No
" 
        Gerdt Gerold Hardorf D. A. (1769-1864) Germany",Dresdener Kunstauktionshaus Günther - German: Dresden,Unsold,09-28-2013,N/A,n,No,Etching ,555,N/A,No,13.78 x 18.50 in (35.00 x 46.99 cm),No,"Brutus, seine Söhne verurteilend",No
" 
        Mercie. A. (-) ",Osenat Jean-Pierre  - France: Fontainebleau,650 EUR,04-29-2012,N/A,y,No,Bronze patina double gold medal,203,500 - 600 EUR,Yes,15.75 x 5.91 x 5.51 in (40.00 x 15.01 x 14.00 cm),No,Jeune femme,No
" 
        A. janner munchen (1900-) ","Clars Auction Gallery - The United States: Oakland, California",60 USD,10-15-2011,N/A,n,No,Oil ON CANVAS,488,N/A,No,16.25 x 19.50 in (41.28 x 49.53 cm),No,Meadow Scene,No
" 
        A. nielson (-) ","Clars Auction Gallery - The United States: Oakland, California",50 USD,08-07-2011,N/A,n,No,Oil on canvas,484,N/A,No,26.00 x 33.50 in (66.04 x 85.09 cm),No,House with Chickens by a Pond,No
" 
        A...leskoy (1800-) ",Tennants Auctioneers - United Kingdom: North Yorkshire,Unsold,11-24-2004,N/A,n,No,Oil on panel - a pair,1303,"2,000 - 3,000 GBP",Yes,15.55 x 12.01 in (39.50 x 30.51 cm),No,"Kitchen Interior with a Young Girl and Boy Beside a Stove, Vegetables in the Foreground; An Interior Scene with a Young Lady, a Small Girl and a Cat",No
" 
        A...normandale (1800-) ",Tennants Auctioneers - United Kingdom: North Yorkshire,220 GBP,11-24-2004,N/A,n,No,Oil on canvas,1253,250 - 300 GBP,Yes,16.14 x 24.21 in (41.00 x 61.49 cm),No,"River Landscape with a Figure on a Towpath, and Cattle Grazing Beside Silver Birch Trees",No
" 
        Ivleyenko A.a (-) Russia",Bonhams - United Kingdom: Unknown,Unsold,09-16-2003,1978,n,Yes,Canvas ,200,400 - 600 GBP,Yes,25.59 x 28.35 in (65.00 x 72.01 cm),No,Portrait of the artist A.Ttitson with his mother,No
" 
        Reverend A.b.bateman (1900-) ",Fieldings Auctioneers Limited - United Kingdom: Stourbridge,40 GBP,02-07-2015,N/A,y,No,Oil on board,538,N/A,Yes,24.02 x 20.47 in (61.01 x 51.99 cm),No,A view of Richmond,No
" 
        A.b.brooke (-) ",Rosebery´s - United Kingdom: London,75 GBP,05-09-2006,N/A,y,No,Photograph black and white,1194,N/A,No,12.20 x 15.75 in (30.99 x 40.00 cm),No,image,No
" 
        A.bahker (1900-) ","Auctions By The Bay, Inc - The United States: California, Alameda",Unsold,04-04-2005,N/A,n,No,Print color woodblock prints,1209,250 - 350 USD,Yes,8.50 x 11.30 in (21.59 x 28.70 cm),Yes,"Evening, Scene from Northern Germany",No
" 
        A.bierig (-) ",Auktionshaus Bloss - Germany: Merzhausen,98 EUR,06-20-2012,1919,y,No,Oil on cardboard,1119,N/A,Yes,10.63 x 15.75 in (27.00 x 40.00 cm),No,Wiese vor einem herbstlichen Mischwald unter gewittrigem Himmel,No
" 
        A.blackly (-) ","Boulton & Cooper - United Kingdom: North Yorkshire, Malton",Unsold,04-28-2010,N/A,n,Yes,Pencil and white chalk,610,70 - 100 GBP,Yes,14.96 x 12.20 in (38.00 x 30.99 cm),No,Portrait of The Honorable Anne Francesca Wilhelmina Finch aged 3 1/2 years,No
" 
        A.bourdin (-) ",Millon & Associes - France: Paris,Unsold,09-26-2013,N/A,y,No,Oil on cardboard,12,40 - 60 EUR,Yes,10.63 x 13.58 in (27.00 x 34.49 cm),No,Bord de Seine,No
" 
        A.brenet (-) ",Camard & Associés - France: Paris,300 EUR,10-10-2011,N/A,y,No,Print ,3,150 - 200 EUR,No,39.17 x 24.41 in (99.49 x 62.00 cm),No,"SNCF. ""VITESSE, EXACTITUDE, CONFORT""",No
" 
        A.brenet (-) ",Camard & Associés - France: Paris,Unsold,10-10-2011,N/A,n,No,Poster ,5.a,150 - 200 EUR,No,39.37 x 24.41 in (100.00 x 62.00 cm),No,"SNCF. ""SPEED - ACCURACY - COMFORT"" and 1960 ""POWER - ECONOMICS"".",No
" 
        A.brenet (-) ",Camard & Associés - France: Paris,Unsold,10-10-2011,N/A,y,No,Print ,5.b,80 - 120 EUR,No,39.17 x 24.21 in (99.49 x 61.49 cm),No,MUSÉE FRANÇAIS DU CHEMIN DE FER,No
" 
        A.brenet (-) ",Camard & Associés - France: Paris,600 EUR,10-10-2011,N/A,y,No,Print ,213,300 - 400 EUR,No,39.17 x 24.80 in (99.49 x 62.99 cm),No,"AIR FRANCE. ""FRENCH WEST AFRICA"".",No
" 
        A.buddeus (-) ",Leo Spik KG - Germany: Berlin,Unsold,12-02-2010,N/A,n,No,Watercolor ,283,120 EUR,No,12.60 x 9.45 in (32.00 x 24.00 cm),No,"Biblische Opferszene. Abraham, bereit seinen Sohn Isaak zu opfern",No
" 
        A.bukewski (-) ",Millon & Associes - France: Paris,200 EUR,09-26-2013,1951,y,No,Oil on canvas,16,150 - 200 EUR,Yes,15.75 x 22.44 in (40.00 x 57.00 cm),No,Le phare,No
" 
        A.c.f (-) ","Bristol Auction Rooms - United Kingdom: Baynton Road, Bristol",40 GBP,12-03-2009,1916,y,No,Watercolor ,449,60 - 80 GBP,Yes,5.91 x 9.45 in (15.01 x 24.00 cm),No,Bath street scene,No
" 
        A.charpentier (-) ",Vanderkindere - Belgium: Bruxelles,Unsold,10-15-2013,N/A,n,No,Oil on canvas,51,N/A,Yes,17.72 x 22.05 in (45.01 x 56.01 cm),No,Paysage à la rivière et au vieux pont,No
" 
        A.charpentier (-) ",Millon & Associes - France: Paris,Unsold,06-16-2006,N/A,y,No,Bronze ,4,"800 - 1,200 EUR",Yes,15.35 x 12.40 in (38.99 x 31.50 cm),No,Bas relief en bronze,No
" 
        A.crimmann (-) ",Auktionshaus Blank - Germany: Bad Vilbel,Unsold,10-24-2014,N/A,y,No,Watercolor ,49,N/A,Yes,11.81 x 11.81 in (30.00 x 30.00 cm),No,Stilleben,No
" 
        A.dunington (-) ","Rupert Toovey and Co. - United Kingdom: Washington, West Sussex",45 GBP,02-22-2012,N/A,y,No,Watercolor ,67,N/A,No,13.78 x 9.84 in (35.00 x 24.99 cm),No,View of a Cottage with a Young Girl standing on the Doorstep,No
" 
        A.dunington (-) ","Bearne´s - United Kingdom: Honiton, Devon",480 GBP,11-23-2010,1889,y,No,Oil on canvas,124,250 - 350 GBP,Yes,23.62 x 35.43 in (59.99 x 89.99 cm),No,"The Old Mill, Chelford, Herts; an extensive rural landscape",No
" 
        A.dunington (-) ",McTear´s - United Kingdom: Glasgow,120 GBP,03-21-2009,N/A,n,No,Watercolor ,478,N/A,Yes,14.17 x 9.84 in (35.99 x 24.99 cm),No,Tudor Mansion in Garden,No
" 
        A.fenyes (-) ",Campo Vlaamse Kaai - Belgium: Antwerp,Unsold,10-26-2013,N/A,n,No,Canvas ,168,"3,000 - 3,500 EUR",No,13.78 x 17.72 in (35.00 x 45.01 cm),No,Course hippique,No
" 
        A.fenyes (-) ",Campo Vlaamse Kaai - Belgium: Antwerp,Unsold,04-28-2010,N/A,n,No,Canvas ,78,250 - 350 EUR,Yes,13.78 x 17.72 in (35.00 x 45.01 cm),No,Course hippique,No
" 
        A.galand (-) ",Camard & Associés - France: Paris,550 EUR,10-10-2011,N/A,y,No,Unknown ,37,350 - 400 EUR,No,39.37 x 24.41 in (100.00 x 62.00 cm),No,ÉTRETAT,No
" 
        A.galand (-) ",Camard & Associés - France: Paris,"1,600 EUR",10-10-2011,N/A,y,No,Unknown ,38,"900 - 1,200 EUR",No,38.98 x 48.03 in (99.01 x 122.00 cm),No,Chemins de Fer de l&#39;ÉTAT. LE HAVRE PORTE DE L&#39;OCIDENT,No
" 
        A.galand (-) ",Camard & Associés - France: Paris,420 EUR,10-10-2011,N/A,n,No,Unknown ,39,250 - 300 EUR,No,38.98 x 24.21 in (99.01 x 61.49 cm),No,"Railroad State: SAINT-AUBIN / Wed, Calvados. ""THE QUEEN OF IODINE""",No
" 
        A.geier (1969-) ",Cuxhavener Auktionshalle - Germany: Cuxhaven,Unsold,12-03-2011,N/A,y,No,Oil on canvas,13003,100 EUR,No,41.73 x 46.06 in (105.99 x 116.99 cm),No,unknown,No
" 
        A.grabowski (-) ","Winter Associates - The United States: Connecticut, Plainville",300 USD,06-25-2012,N/A,y,No,Painting ,199,400 - 800 USD,No,4.00 x 3.40 in (10.16 x 8.64 cm),No,abstracted landscape with broken treeline,No
" 
        A.guioth (-) ",Aguttes - France: Paris,150 EUR,02-15-2012,N/A,n,No,Oil on canvas,5,150 - 200 EUR,No,9.84 x 12.99 in (24.99 x 32.99 cm),No,Nature morte orientale,No
" 
        A.horst (-) ",Veilinghuis Bernaerts Hotel des Ventes - Belgium: Antwerpen,300 EUR,03-30-2010,N/A,n,No,Canvas ,790,N/A,Yes,18.11 x 25.59 in (46.00 x 65.00 cm),No,Paysage montagneux au bord de l’eau,No
" 
        J. A.knipe (-) ",Bloomsbury Auctions  - United Kingdom: London,"1,200 GBP",07-14-2011,N/A,y,No,Engraving ,137,700 - 900 GBP,No,12.91 x 10.55 in (32.79 x 26.80 cm),No,eological Map of the British Isles and part of France,No
" 
        A.kucenko (-) ",Peege - Switzerland: Freiburg,Unsold,12-05-2009,N/A,y,No,Oil on canvas,1080,"1,500 EUR",Yes,24.61 x 39.37 in (62.51 x 100.00 cm),No,Nachtlandschaft,No
" 
        Max A.kuhn (1895-1976) Germany",Allgäuer Auktionshaus  - Germany: Kempten,Unsold,04-13-2013,1957,y,No,Oil on cardboard,2396,300 EUR,Yes,16.54 x 11.42 in (42.01 x 29.01 cm),No,Winterliche Straßenszene,No
" 
        Max A.kuhn (1895-1976) Germany",Auktionshaus Rütten - Germany: Forstinning,"9,000 EUR",06-21-2008,N/A,y,No,Oil ,245,"9,000 EUR",No,24.02 x 31.89 in (61.01 x 81.00 cm),No,Chiemseelandschaft,Yes
" 
        Max A.kuhn (1895-1976) Germany",Allgäuer Auktionshaus  - Germany: Kempten,250 EUR,01-17-2008,1948,n,No,Watercolor on paper,1276,350 EUR,Yes,12.99 x 9.45 in (32.99 x 24.00 cm),No,Rosenheim - Belebte Partie in der Heilig-Geist-Straße mit Blick zum Max- Josefs-Platz mit St. Nikolaus und der Heilig-Geist-Kirche,No
